Hallazgo;Fecha identificación
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;17/10/2024
Necesidad de mejorar el contenido de los registros auxiliares de las cuentas contables del rubro de propiedades, planta y equipos. Necesidad de mejorar el contenido de los registros auxiliares de las cuentas contables del rubro de propiedades, planta y equipos.;16/10/2024
No es posible asegurar que se realicen capacitaciones periódicas a los administradores de contrato relacionadas a sus roles y responsabilidades asociadas al cargo. No es posible asegurar que se realicen capacitaciones periódicas a los administradores de contrato relacionadas a sus roles y responsabilidades asociadas al cargo.;15/10/2024
Necesidad de incorporar una verificación de autenticidad de los formularios F-30, F30- 1. Necesidad de incorporar una verificación de autenticidad de los formularios F-30, F30- 1.;14/10/2024
Necesidad de que se revise y actualice periódicamente las tarifas que se aplican anualmente entre empresas relacionadas. Necesidad de que se revise y actualice periódicamente las tarifas que se aplican anualmente entre empresas relacionadas.;13/10/2024
Proceso de cobro/pago de arriendo de material rodante deficiente. Proceso de cobro/pago de arriendo de material rodante deficiente.;12/10/2024
Necesidad de establecer controles para identificar y registrar todas las transacciones de partes relacionadas. Necesidad de establecer controles para identificar y registrar todas las transacciones de partes relacionadas.;11/10/2024
Necesidad de realizar capacitaciones al personal técnico de mantenimiento de material rodante. Necesidad de realizar capacitaciones al personal técnico de mantenimiento de material rodante.;10/10/2024
Necesidad de reforzar la seguridad física del taller de la empresa Temoinsa, mantenedora de los trenes CRRC Sifang y UT/UTS. Necesidad de reforzar la seguridad física del taller de la empresa Temoinsa, mantenedora de los trenes CRRC Sifang y UT/UTS.;9/10/2024
Necesidad de cumplir con acuerdo de cesión de la “Administración del Contrato de mantenimiento de Material Rodante”. Necesidad de cumplir con acuerdo de cesión de la “Administración del Contrato de mantenimiento de Material Rodante”.;8/10/2024
Necesidad de especificar en contratos todos los servicios que presta la Empresa de los Ferrocarriles del Estado a  Central y las tarifas asociadas. Necesidad de especificar en contratos todos los servicios que presta la Empresa de los Ferrocarriles del Estado a  Central y las tarifas asociadas.;7/10/2024
Necesidad de revisar el Modelo de Gestión de transferencia de costos de la Matriz con respecto a los servicios prestados a las filiales y de otros costos relacionados Necesidad de revisar el Modelo de Gestión de transferencia de costos de la Matriz con respecto a los servicios prestados a las filiales y de otros costos relacionados;6/10/2024
Necesidad de acordar niveles de servicio objetivos y medibles. Necesidad de acordar niveles de servicio objetivos y medibles.;5/10/2024
Necesidad de asegurar que personal cuente permanentemente con capacitación y entrenamiento para abordar contingencias, considerando actualización de mejores prácticas y lecciones aprendidas por casos anteriores. Necesidad de asegurar que personal cuente permanentemente con capacitación y entrenamiento para abordar contingencias, considerando actualización de mejores prácticas y lecciones aprendidas por casos anteriores.;4/10/2024
Necesidad de asegurar que personal cuente permanentemente con capacitación y entrenamiento para abordar contingencias, considerando actualización de mejores prácticas y lecciones aprendidas por casos anteriores. Necesidad de asegurar que personal cuente permanentemente con capacitación y entrenamiento para abordar contingencias, considerando actualización de mejores prácticas y lecciones aprendidas por casos anteriores.;3/10/2024
Necesidad de mejorar controles que permitan asegurar que el personal de seguridad o de asistente de pasajeros cuente con los conocimientos adecuados, equipamiento e implementos para brindar asistencia a pasajeros ante accidentes o incidentes que afecten s Necesidad de mejorar controles que permitan asegurar que el personal de seguridad o de asistente de pasajeros cuente con los conocimientos adecuados, equipamiento e implementos para brindar asistencia a pasajeros ante accidentes o incidentes que afecten s;2/10/2024
Necesidad de mejorar controles que permitan asegurar que el personal de seguridad o de asistente de pasajeros cuente con los conocimientos adecuados, equipamiento e implementos para brindar asistencia a pasajeros ante accidentes o incidentes que afecten s Necesidad de mejorar controles que permitan asegurar que el personal de seguridad o de asistente de pasajeros cuente con los conocimientos adecuados, equipamiento e implementos para brindar asistencia a pasajeros ante accidentes o incidentes que afecten s;1/10/2024
Necesidad de implementar controles sobre las actividades realizadas por el área contable con relación a los procesos de registro de los bienes de propiedades, planta y equipos. Necesidad de implementar controles sobre las actividades realizadas por el área contable con relación a los procesos de registro de los bienes de propiedades, planta y equipos.;30/9/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;29/9/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;28/9/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;27/9/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;26/9/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;25/9/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;24/9/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;23/9/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;22/9/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;21/9/2024
Necesidad de mejorar el contenido de los registros auxiliares de las cuentas contables del rubro de propiedades, planta y equipos. Necesidad de mejorar el contenido de los registros auxiliares de las cuentas contables del rubro de propiedades, planta y equipos.;20/9/2024
Necesidad de establecer un modelo para la determinación del deterioro de cartera acorde a IFRS 9 (Cat. C) Necesidad de establecer un modelo para la determinación del deterioro de cartera acorde a IFRS 9 (Cat. C);19/9/2024
Acumulación de feriados legales por más de 2 períodos consecutivos (Cat. C) Acumulación de feriados legales por más de 2 períodos consecutivos (Cat. C);18/9/2024
Depuración continúa de los análisis contables (Cat. C) Depuración continúa de los análisis contables (Cat. C);17/9/2024
Ausencia de interfaz entre sistema contable SAP vs sistema de ingresos por venta (B) Ausencia de interfaz entre sistema contable SAP vs sistema de ingresos por venta (B);16/9/2024
Accesos de usuarios SAP desde terminales asignadas a otros trabajadores. Accesos de usuarios SAP desde terminales asignadas a otros trabajadores.;15/9/2024
El Sistema de Gestión Transaccional no registra el monto total de las ventas de tarjetas con diseño. El Sistema de Gestión Transaccional no registra el monto total de las ventas de tarjetas con diseño.;14/9/2024
Sistema de peajes del Servicio Alameda - Rancagua no registra el medio de pago utilizado en la venta. Sistema de peajes del Servicio Alameda - Rancagua no registra el medio de pago utilizado en la venta.;13/9/2024
Necesidad de reforzar el control de verificación de las acreditaciones del personal de mantenimiento que se identifica ante Control Trafico Necesidad de reforzar el control de verificación de las acreditaciones del personal de mantenimiento que se identifica ante Control Trafico;12/9/2024
Necesidad de reforzar el control de verificación de las acreditaciones del personal de mantenimiento que se identifica ante Control Trafico Necesidad de reforzar el control de verificación de las acreditaciones del personal de mantenimiento que se identifica ante Control Trafico;11/9/2024
No se observa una inspección de dctos de rieles integra que abarque todos los sectores y en los tiempos requeridos por normativa. No se observa una inspección de dctos de rieles integra que abarque todos los sectores y en los tiempos requeridos por normativa.;10/9/2024
No se observa una inspección de dctos de rieles integra que abarque todos los sectores y en los tiempos requeridos por normativa. No se observa una inspección de dctos de rieles integra que abarque todos los sectores y en los tiempos requeridos por normativa.;9/9/2024
No es posible asegurar que se hayan realizado actividades de mantención en relación a la adecuada conservación actual de los túneles del tramo. No es posible asegurar que se hayan realizado actividades de mantención en relación a la adecuada conservación actual de los túneles del tramo.;8/9/2024
No es posible asegurar que se hayan realizado actividades de mantención en relación a la adecuada conservación actual de los túneles del tramo. No es posible asegurar que se hayan realizado actividades de mantención en relación a la adecuada conservación actual de los túneles del tramo.;7/9/2024
No es posible asegurar que se hayan realizado actividades de mantención en relación a la adecuada conservación actual de los túneles del tramo. No es posible asegurar que se hayan realizado actividades de mantención en relación a la adecuada conservación actual de los túneles del tramo.;6/9/2024
Formalizar los controles claves realizados para verificar el cumplimiento del mantenimiento ejecutado a las vías. Formalizar los controles claves realizados para verificar el cumplimiento del mantenimiento ejecutado a las vías.;5/9/2024
Probabilidad de errores en información de seguimiento para la toma de decisiones. Probabilidad de errores en información de seguimiento para la toma de decisiones.;4/9/2024
Necesidad de implementar procesos de inventario y/o levantamiento de activos para la creación y mantención de registros actualizados que permitan la gestión eficiente del mantenimiento de los bienes y facilitar la toma de decisiones Necesidad de implementar procesos de inventario y/o levantamiento de activos para la creación y mantención de registros actualizados que permitan la gestión eficiente del mantenimiento de los bienes y facilitar la toma de decisiones;3/9/2024
Necesidad de implementar procesos de inventario y/o levantamiento de activos para la creación y mantención de registros actualizados que permitan la gestión eficiente del mantenimiento de los bienes y facilitar la toma de decisiones Necesidad de implementar procesos de inventario y/o levantamiento de activos para la creación y mantención de registros actualizados que permitan la gestión eficiente del mantenimiento de los bienes y facilitar la toma de decisiones;2/9/2024
Necesidad de implementar procesos de inventario y/o levantamiento de activos para la creación y mantención de registros actualizados que permitan la gestión eficiente del mantenimiento de los bienes y facilitar la toma de decisiones Necesidad de implementar procesos de inventario y/o levantamiento de activos para la creación y mantención de registros actualizados que permitan la gestión eficiente del mantenimiento de los bienes y facilitar la toma de decisiones;1/9/2024
No fue posible asegurar la existencia de un mecanismo de control del cumplimiento de las actividades de mantenimiento por parte del proveedor y seguimiento de los acuerdos adoptados en reuniones de coordinación. No fue posible asegurar la existencia de un mecanismo de control del cumplimiento de las actividades de mantenimiento por parte del proveedor y seguimiento de los acuerdos adoptados en reuniones de coordinación.;31/8/2024
Control de validación de los servicios del proveedor de mantenimiento del sistema de cruces automáticos, señalización, SCADA y control tráfico centralizado no permite mitigar adecuadamente los riesgos de un mantenimiento no realizado o deficiente. Control de validación de los servicios del proveedor de mantenimiento del sistema de cruces automáticos, señalización, SCADA y control tráfico centralizado no permite mitigar adecuadamente los riesgos de un mantenimiento no realizado o deficiente.;30/8/2024
Controles de verificación respecto de las mantenciones y trabajos realizados no mitiga adecuadamente la probabilidad de incumplimiento del contratista. Controles de verificación respecto de las mantenciones y trabajos realizados no mitiga adecuadamente la probabilidad de incumplimiento del contratista.;29/8/2024
Controles de verificación respecto de las mantenciones y trabajos realizados no mitiga adecuadamente la probabilidad de incumplimiento del contratista. Controles de verificación respecto de las mantenciones y trabajos realizados no mitiga adecuadamente la probabilidad de incumplimiento del contratista.;28/8/2024
Gestión de autorizaciones para el contratista no permite asegurar el cumplimiento de la planificación del mantenimiento del sistema de electrificación. Gestión de autorizaciones para el contratista no permite asegurar el cumplimiento de la planificación del mantenimiento del sistema de electrificación.;27/8/2024
Posibilidad de errores en información de seguimiento al plan de mantenimiento para la toma de decisiones. Posibilidad de errores en información de seguimiento al plan de mantenimiento para la toma de decisiones.;26/8/2024
Necesidad de fortalecer el control sobre el stock mínimo de materiales/repuestos necesarios para el mantenimiento. Necesidad de fortalecer el control sobre el stock mínimo de materiales/repuestos necesarios para el mantenimiento.;25/8/2024
Fortalecer las inspecciones preventivas al cumplimiento de las normativas vigentes de seguridad a los trabajadores de los contratistas. Fortalecer las inspecciones preventivas al cumplimiento de las normativas vigentes de seguridad a los trabajadores de los contratistas.;24/8/2024
Contratos con clausulas inadecuadas (contrato no posee mecanismos que permitan realizar modificaciones a los precios y formula de peajes, cobro de multas por incumplimientos en los contratos y sistemas de control de peso y/o velocidad). Contratos con clausulas inadecuadas (contrato no posee mecanismos que permitan realizar modificaciones a los precios y formula de peajes, cobro de multas por incumplimientos en los contratos y sistemas de control de peso y/o velocidad).;23/8/2024
Necesidad de ajustar Plan de Gestión de Crisis  para incorporar responsabilidades vigentes y actividades necesarias para abordar adecuadamenteuna crisis. Necesidad de ajustar Plan de Gestión de Crisis  para incorporar responsabilidades vigentes y actividades necesarias para abordar adecuadamenteuna crisis.;22/8/2024
Necesidad de utilizar una metodología que permita una adecuada evaluación de escenarios, riesgos y medidas requeridas para abordar una crisis. Necesidad de utilizar una metodología que permita una adecuada evaluación de escenarios, riesgos y medidas requeridas para abordar una crisis.;21/8/2024
Necesidad de implementar un Plan de Capacitaciones en Gestión de Crisis incluyendo ejercicios de Simulacros. Necesidad de implementar un Plan de Capacitaciones en Gestión de Crisis incluyendo ejercicios de Simulacros.;20/8/2024
Necesidad de especificar las acciones, responsabilidades y actividades mínimas requeridas para abordar todos los escenarios identificados que podrían provocar una crisis Necesidad de especificar las acciones, responsabilidades y actividades mínimas requeridas para abordar todos los escenarios identificados que podrían provocar una crisis;19/8/2024
Plan de Gestión de Crisis no se encuentra aprobado por Directorio. Plan de Gestión de Crisis no se encuentra aprobado por Directorio.;18/8/2024
Manual Estratégico Comunicacional de Gestión de Contingencias Grupo  no se encuentra aprobado por Directorio. Manual Estratégico Comunicacional de Gestión de Contingencias Grupo  no se encuentra aprobado por Directorio.;17/8/2024
Necesidad de ctuar mejoras a la Política de Seguros y garantizar su aprobación por Directorio Necesidad de ctuar mejoras a la Política de Seguros y garantizar su aprobación por Directorio;16/8/2024
Necesidad de establecer procesos de control periódicos sobre la valorización de activos. Necesidad de establecer procesos de control periódicos sobre la valorización de activos.;15/8/2024
Necesidad de mejorar los controles para asegurar que las filiales reciban de manera íntegra y oportuna los respectivos pagos por sus siniestros. Necesidad de mejorar los controles para asegurar que las filiales reciban de manera íntegra y oportuna los respectivos pagos por sus siniestros.;14/8/2024
Necesidad de establecer mecanismos que permitan minimizar la posibilidad de prácticas anticompetitivas y/o colusión entre los oferentes. Necesidad de establecer mecanismos que permitan minimizar la posibilidad de prácticas anticompetitivas y/o colusión entre los oferentes.;13/8/2024
Necesidad de establecer controles para identificar y registrar todas las transacciones de partes relacionadas Necesidad de establecer controles para identificar y registrar todas las transacciones de partes relacionadas;12/8/2024
Necesidad de revisar el Modelo de Gestión de transferencia de costos de la Matriz con respecto a los servicios prestados a las filiales y de otros costos relacionados Necesidad de revisar el Modelo de Gestión de transferencia de costos de la Matriz con respecto a los servicios prestados a las filiales y de otros costos relacionados;11/8/2024
Necesidad de acordar niveles de servicio objetivos y medibles. Necesidad de acordar niveles de servicio objetivos y medibles.;10/8/2024
Necesidad de especificar en contratos todos los servicios que presta la Empresa de los Ferrocarriles del Estado a filiales y las tarifas asociadas Necesidad de especificar en contratos todos los servicios que presta la Empresa de los Ferrocarriles del Estado a filiales y las tarifas asociadas;9/8/2024
Necesidad de que se revise periódicamente las tarifas que se aplican anualmente entre empresas relacionadas. Necesidad de que se revise periódicamente las tarifas que se aplican anualmente entre empresas relacionadas.;8/8/2024
Proceso de cobro/pago de arriendo de material rodante deficiente. Proceso de cobro/pago de arriendo de material rodante deficiente.;7/8/2024
Necesidad de formalizar la prestación de servicios recurrentes y las tarifas asociadas con  Arica – La Paz S.A. Necesidad de formalizar la prestación de servicios recurrentes y las tarifas asociadas con  Arica – La Paz S.A.;6/8/2024
Necesidad de implementar procesos de inventario y/o levantamiento de activos para la creación y mantención de registros actualizados que permitan la gestión eficiente de los bienes y facilitar la toma de decisiones. Necesidad de implementar procesos de inventario y/o levantamiento de activos para la creación y mantención de registros actualizados que permitan la gestión eficiente de los bienes y facilitar la toma de decisiones.;5/8/2024
Necesidad de implementar procesos de inventario y/o levantamiento de activos para la creación y mantención de registros actualizados que permitan la gestión eficiente de los bienes y facilitar la toma de decisiones. Necesidad de implementar procesos de inventario y/o levantamiento de activos para la creación y mantención de registros actualizados que permitan la gestión eficiente de los bienes y facilitar la toma de decisiones.;4/8/2024
Necesidad de implementar procesos de inventario y/o levantamiento de activos para la creación y mantención de registros actualizados que permitan la gestión eficiente de los bienes y facilitar la toma de decisiones. Necesidad de implementar procesos de inventario y/o levantamiento de activos para la creación y mantención de registros actualizados que permitan la gestión eficiente de los bienes y facilitar la toma de decisiones.;3/8/2024
Necesidad de implementar procesos de inventario y/o levantamiento de activos para la creación y mantención de registros actualizados que permitan la gestión eficiente de los bienes y facilitar la toma de decisiones. Necesidad de implementar procesos de inventario y/o levantamiento de activos para la creación y mantención de registros actualizados que permitan la gestión eficiente de los bienes y facilitar la toma de decisiones.;2/8/2024
Necesidad de implementar procesos de inventario y/o levantamiento de activos para la creación y mantención de registros actualizados que permitan la gestión eficiente de los bienes y facilitar la toma de decisiones. Necesidad de implementar procesos de inventario y/o levantamiento de activos para la creación y mantención de registros actualizados que permitan la gestión eficiente de los bienes y facilitar la toma de decisiones.;1/8/2024
Necesidad de implementar procesos de inventario y/o levantamiento de activos para la creación y mantención de registros actualizados que permitan la gestión eficiente de los bienes y facilitar la toma de decisiones. Necesidad de implementar procesos de inventario y/o levantamiento de activos para la creación y mantención de registros actualizados que permitan la gestión eficiente de los bienes y facilitar la toma de decisiones.;31/7/2024
Necesidad de implementar medidas de resguardo que permitan mitigar la probabilidad de que el material rodante no operativo custodiado por  sufra daños, pérdidas o robos. Necesidad de implementar medidas de resguardo que permitan mitigar la probabilidad de que el material rodante no operativo custodiado por  sufra daños, pérdidas o robos.;30/7/2024
Necesidad de implementar medidas de resguardo que permitan mitigar la probabilidad de que el material rodante no operativo custodiado por  sufra daños, pérdidas o robos. Necesidad de implementar medidas de resguardo que permitan mitigar la probabilidad de que el material rodante no operativo custodiado por  sufra daños, pérdidas o robos.;29/7/2024
Necesidad de implementar medidas de resguardo que permitan mitigar la probabilidad de que el material rodante no operativo custodiado por  sufra daños, pérdidas o robos. Necesidad de implementar medidas de resguardo que permitan mitigar la probabilidad de que el material rodante no operativo custodiado por  sufra daños, pérdidas o robos.;28/7/2024
Necesidad de implementar medidas de resguardo que permitan mitigar la probabilidad de que el material rodante no operativo custodiado por  sufra daños, pérdidas o robos. Necesidad de implementar medidas de resguardo que permitan mitigar la probabilidad de que el material rodante no operativo custodiado por  sufra daños, pérdidas o robos.;27/7/2024
Necesidad de implementar medidas para asegurar que el material rodante no operativo custodiado por terceros no presente deterioro, daños, y/o pérdidas. Necesidad de implementar medidas para asegurar que el material rodante no operativo custodiado por terceros no presente deterioro, daños, y/o pérdidas.;26/7/2024
Necesidad de implementar medidas que permitan asegurar que el material rodante operativo entregado a terceros no presente deterioro, daños, y/o pérdidas. Necesidad de implementar medidas que permitan asegurar que el material rodante operativo entregado a terceros no presente deterioro, daños, y/o pérdidas.;25/7/2024
Necesidad de fortalecer el proceso de seguridad, resguardo y mantenimiento, haciéndolos extensible a las instalaciones no operativas. Necesidad de fortalecer el proceso de seguridad, resguardo y mantenimiento, haciéndolos extensible a las instalaciones no operativas.;24/7/2024
Necesidad de fortalecer el proceso de seguridad, custodia y mantenimiento de las instalaciones operativas incluidas las patrimoniales y/o históricas bajo de administración de . Necesidad de fortalecer el proceso de seguridad, custodia y mantenimiento de las instalaciones operativas incluidas las patrimoniales y/o históricas bajo de administración de .;23/7/2024
Necesidad de establecer medidas para asegurar la conservación ctiva de las instalaciones patrimoniales operativas y no operativas cedidas a terceros. Necesidad de establecer medidas para asegurar la conservación ctiva de las instalaciones patrimoniales operativas y no operativas cedidas a terceros.;22/7/2024
Necesidad de establecer definiciones en cuanto al uso de bienes no operativos Necesidad de establecer definiciones en cuanto al uso de bienes no operativos;21/7/2024
Necesidad de implementar controles sobre los registros contables para el proceso bajas del activo fijo. Necesidad de implementar controles sobre los registros contables para el proceso bajas del activo fijo.;20/7/2024
Necesidad de implementar controles sobre los registros contables para el proceso reclasificaciones del activo fijo. Necesidad de implementar controles sobre los registros contables para el proceso reclasificaciones del activo fijo.;19/7/2024
Necesidad de implementar controles sobre las actividades realizadas por el área contable con relación a los procesos de registro de los bienes de propiedades, planta y equipos. Necesidad de implementar controles sobre las actividades realizadas por el área contable con relación a los procesos de registro de los bienes de propiedades, planta y equipos.;18/7/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;17/7/2024
Necesidad de implementar medidas con la finalidad de verificar la existencia de los bienes computacionales registrados en SAP. Necesidad de implementar medidas con la finalidad de verificar la existencia de los bienes computacionales registrados en SAP.;16/7/2024
Saldos significativos en cuentas contable de activo fijo rubro de Propiedad, Planta y Equipos no cuentan con registros auxiliares que detallen las partidas que componen ese saldo. Saldos significativos en cuentas contable de activo fijo rubro de Propiedad, Planta y Equipos no cuentan con registros auxiliares que detallen las partidas que componen ese saldo.;15/7/2024
Necesidad de mejorar los controles sobre el contenido de los registros auxiliares de las cuentas contables del rubro de propiedades, planta y equipos. Necesidad de mejorar los controles sobre el contenido de los registros auxiliares de las cuentas contables del rubro de propiedades, planta y equipos.;14/7/2024
Necesidad de diseñar un control que permita asegurar la identificación oportuna de permisos ambientales para toda la cartera de proyectos de  Necesidad de diseñar un control que permita asegurar la identificación oportuna de permisos ambientales para toda la cartera de proyectos de ;13/7/2024
Necesidad de formalizar controles claves, realizados en el proceso. Necesidad de formalizar controles claves, realizados en el proceso.;12/7/2024
Falta definición/levantamiento de los Procesos críticos de  Matriz para abordar planes de continuidad. Falta definición/levantamiento de los Procesos críticos de  Matriz para abordar planes de continuidad.;11/7/2024
Necesidad de formalizar planes de continuidad para los procesos críticos de la Gerencia de Administración y Finanzas Necesidad de formalizar planes de continuidad para los procesos críticos de la Gerencia de Administración y Finanzas;10/7/2024
Debilidad de control en el proceso de aceptación de los plazos de vigencia de Boletas de Garantía y Pólizas de Responsabilidad civil Debilidad de control en el proceso de aceptación de los plazos de vigencia de Boletas de Garantía y Pólizas de Responsabilidad civil;9/7/2024
Necesidad de llevar a cabo adecuadamente el control que asegure respuestas oportunas a Comunicaciones y reclamos del contratista. (GIP-GEP) Necesidad de llevar a cabo adecuadamente el control que asegure respuestas oportunas a Comunicaciones y reclamos del contratista. (GIP-GEP);8/7/2024
Necesidad de llevar a cabo adecuadamente el control que asegure respuestas oportunas a Comunicaciones y reclamos del contratista. (GIP-GEP) Necesidad de llevar a cabo adecuadamente el control que asegure respuestas oportunas a Comunicaciones y reclamos del contratista. (GIP-GEP);7/7/2024
No es posible asegurar que se realizan capacitaciones a los administradores de contrato relacionadas a sus roles y responsabilidades del cargo. (GIP-GEP) No es posible asegurar que se realizan capacitaciones a los administradores de contrato relacionadas a sus roles y responsabilidades del cargo. (GIP-GEP);6/7/2024
No es posible asegurar que se realizan capacitaciones a los administradores de contrato relacionadas a sus roles y responsabilidades del cargo. (GIP-GEP) No es posible asegurar que se realizan capacitaciones a los administradores de contrato relacionadas a sus roles y responsabilidades del cargo. (GIP-GEP);5/7/2024
Falta de verificación de la autenticidad de los formularios F30 y F30-1. (GIP-GEP) Falta de verificación de la autenticidad de los formularios F30 y F30-1. (GIP-GEP);4/7/2024
Falta de verificación de la autenticidad de los formularios F30 y F30-1. (GIP-GEP) Falta de verificación de la autenticidad de los formularios F30 y F30-1. (GIP-GEP);3/7/2024
Necesidad de reforzar el control que asegure la oportuna e íntegra documentación requerida para el pago a proveedores. (GIP-GEP) Necesidad de reforzar el control que asegure la oportuna e íntegra documentación requerida para el pago a proveedores. (GIP-GEP);2/7/2024
Necesidad de reforzar el control que asegure la oportuna e íntegra documentación requerida para el pago a proveedores. (GIP-GEP) Necesidad de reforzar el control que asegure la oportuna e íntegra documentación requerida para el pago a proveedores. (GIP-GEP);1/7/2024
Restringir los accesos a la función DEBUG a usuarios en ambiente de producción SAP (B) Restringir los accesos a la función DEBUG a usuarios en ambiente de producción SAP (B);30/6/2024
Restringir los accesos a la función DEBUG a usuarios en ambiente de producción SAP (B) Restringir los accesos a la función DEBUG a usuarios en ambiente de producción SAP (B);29/6/2024
Implementar una revisión periódica sobre los usuarios con acceso al ambiente de desarrollo y producción (B) Implementar una revisión periódica sobre los usuarios con acceso al ambiente de desarrollo y producción (B);28/6/2024
Implementar una revisión periódica sobre los usuarios con acceso al ambiente de desarrollo y producción (B) Implementar una revisión periódica sobre los usuarios con acceso al ambiente de desarrollo y producción (B);27/6/2024
Fortalecer el proceso de cambios de a programas (B) Fortalecer el proceso de cambios de a programas (B);26/6/2024
Realizar una revisión periódica de usuarios en SAP (B) Realizar una revisión periódica de usuarios en SAP (B);25/6/2024
Realizar una revisión periódica de usuarios en SAP (B) Realizar una revisión periódica de usuarios en SAP (B);24/6/2024
Monitorear los usuarios con acceso al mandante 000, DDIC y SAP* (C) Monitorear los usuarios con acceso al mandante 000, DDIC y SAP* (C);23/6/2024
Monitorear los usuarios con acceso al mandante 000, DDIC y SAP* (C) Monitorear los usuarios con acceso al mandante 000, DDIC y SAP* (C);22/6/2024
Implementar un procedimiento de creación y regeneración de roles en SAP (C) Implementar un procedimiento de creación y regeneración de roles en SAP (C);21/6/2024
Comunicación y coordinación entre áreas operativas y áreas contables (Cat,A) Comunicación y coordinación entre áreas operativas y áreas contables (Cat,A);20/6/2024
Auto asignación de perfiles en el sistema SAP (B) Auto asignación de perfiles en el sistema SAP (B);19/6/2024
